=== RESULTATS ===
Journee,Equipe_Dom,Equipe_Ext,Score_Dom,Score_Ext
1,West Ham,Aston Villa,0,1
1,N. Forest,Spurs,1,2
1,Sunderland,Leeds,1,0
1,Manchester Blue,Newcastle,2,0
1,Brentford,London Reds,1,4
1,London Blues,Manchester Red,4,2
1,Liverpool,Fulham,1,2
1,Burnley,Everton,0,1
1,Bournemouth,Crystal Palace,3,1
1,Wolverhampton,Brighton,4,0
2,London Reds,N. Forest,5,1
2,Burnley,Wolverhampton,2,1
2,Everton,Bournemouth,1,1
2,Manchester Red,Sunderland,0,0
2,Spurs,Liverpool,3,3
2,Newcastle,London Blues,4,0
2,Aston Villa,Brentford,0,1
2,Crystal Palace,West Ham,3,0
2,Brighton,Manchester Blue,2,3
2,Leeds,Fulham,0,4
3,Brentford,Crystal Palace,1,1
3,Liverpool,Leeds,2,1
3,Spurs,London Reds,1,1
3,Fulham,Manchester Red,2,0
3,Sunderland,Newcastle,1,0
3,West Ham,Everton,1,1
3,Manchester Blue,Burnley,5,1
3,London Blues,Brighton,3,1
3,N. Forest,Aston Villa,0,0
3,Bournemouth,Wolverhampton,2,1
4,Manchester Red,Leeds,2,0
4,Newcastle,Fulham,1,0
4,Bournemouth,Manchester Blue,1,0
4,Brighton,Sunderland,2,0
4,Aston Villa,Spurs,1,2
4,Burnley,London Blues,0,3
4,London Reds,Liverpool,1,1
4,Everton,Brentford,3,1
4,Crystal Palace,N. Forest,1,1
4,Wolverhampton,West Ham,0,0
5,London Reds,Aston Villa,4,1
5,N. Forest,Everton,2,0
5,Spurs,Crystal Palace,1,1
5,West Ham,Manchester Blue,0,3
5,London Blues,Bournemouth,0,1
5,Liverpool,Manchester Red,4,1
5,Leeds,Newcastle,1,2
5,Fulham,Brighton,0,4
5,Sunderland,Burnley,1,3
5,Brentford,Wolverhampton,0,1
6,West Ham,London Blues,3,2
6,Aston Villa,Liverpool,3,2
6,Manchester Blue,Brentford,4,0
6,Brighton,Leeds,1,2
6,Wolverhampton,N. Forest,1,2
6,Crystal Palace,London Reds,0,0
6,Burnley,Fulham,2,1
6,Bournemouth,Sunderland,2,1
6,Newcastle,Manchester Red,4,1
6,Everton,Spurs,0,3
7,Brentford,London Blues,0,2
7,Fulham,Bournemouth,1,0
7,N. Forest,Manchester Blue,0,3
7,Liverpool,Newcastle,1,0
7,Leeds,Burnley,2,2
7,London Reds,Everton,2,0
7,Spurs,Wolverhampton,3,0
7,Manchester Red,Brighton,2,1
7,Sunderland,West Ham,0,2
7,Aston Villa,Crystal Palace,0,0
8,Crystal Palace,Liverpool,1,3
8,Bournemouth,Leeds,1,0
8,West Ham,Fulham,0,1
8,Everton,Aston Villa,3,1
8,Wolverhampton,London Reds,0,1
8,Manchester Blue,Spurs,4,0
8,Brighton,Newcastle,3,0
8,Brentford,Sunderland,3,0
8,London Blues,N. Forest,1,1
8,Burnley,Manchester Red,2,0
9,Aston Villa,Wolverhampton,3,2
9,Leeds,West Ham,0,2
9,Liverpool,Brighton,0,0
9,London Reds,Manchester Blue,2,1
9,Crystal Palace,Everton,3,2
9,N. Forest,Sunderland,4,1
9,Manchester Red,Bournemouth,1,0
9,Fulham,Brentford,3,1
9,Spurs,London Blues,2,2
9,Newcastle,Burnley,5,1
10,Manchester Blue,Aston Villa,2,3
10,N. Forest,Fulham,0,0
10,Burnley,Brighton,0,0
10,Bournemouth,Newcastle,1,1
10,Sunderland,Spurs,2,2
10,Everton,Liverpool,2,1
10,West Ham,Manchester Red,2,2
10,Wolverhampton,Crystal Palace,2,3
10,London Blues,London Reds,1,3
10,Brentford,Leeds,3,1
11,Manchester Red,Brentford,0,2
11,Brighton,Bournemouth,2,0
11,Liverpool,Burnley,2,0
11,Aston Villa,London Blues,0,0
11,Leeds,N. Forest,4,2
11,Spurs,Fulham,2,1
11,Crystal Palace,Manchester Blue,1,1
11,Everton,Wolverhampton,4,1
11,London Reds,Sunderland,2,1
11,Newcastle,West Ham,3,0
12,Fulham,London Reds,0,4
12,Manchester Blue,Everton,2,1
12,Bournemouth,Burnley,2,1
12,Brentford,Newcastle,1,2
12,N. Forest,Manchester Red,1,2
12,Sunderland,Aston Villa,0,4
12,London Blues,Crystal Palace,2,3
12,Spurs,Leeds,3,0
12,Wolverhampton,Liverpool,0,1
12,West Ham,Brighton,2,0
13,Manchester Red,Spurs,2,1
13,London Reds,Leeds,0,0
13,Aston Villa,Fulham,2,3
13,Wolverhampton,Manchester Blue,0,4
13,Burnley,West Ham,1,0
13,Liverpool,Bournemouth,2,1
13,Newcastle,N. Forest,3,0
13,Crystal Palace,Sunderland,1,1
13,Everton,London Blues,3,3
13,Brighton,Brentford,1,1
14,West Ham,Bournemouth,5,1
14,Manchester Blue,Liverpool,0,0
14,London Blues,Wolverhampton,2,0
14,Spurs,Newcastle,1,1
14,Sunderland,Everton,1,0
14,Leeds,Aston Villa,2,1
14,Brentford,Burnley,3,1
14,Fulham,Crystal Palace,2,3
14,N. Forest,Brighton,1,0
